solver,3,5,8,10,15,20
DDIM,0.017066,0.014834,0.012302,0.010743,0.009662,0.009436
DPM-Solver-2,0.018666,0.015859,0.011322,0.009849,0.009033,0.008649
UniPC,0.118661,0.012314,0.009957,0.009568,0.008732,0.008460
EVODiff,0.029624,0.019773,0.014297,0.014356,0.009622,0.009569
